"Player","#","Nation","Pos","Min","Gls","Ast","xG","xG-PK","xA","Sh","SoT","Fls","Fld","Crs","Tkl","Int","CrdY","CrdR","GA","Saves","Save%","Team","Time"
"Divock Origi",27,"BEL","FW,MF",74,1,0,0.2,0.2,0,1,1,0,2,4,3,1,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Sadio Man¨¦",10,"SEN","FW,MF",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Roberto Firmino",9,"BRA","FW,MF",86,0,1,0.8,0.8,0.4,4,1,0,1,0,1,0,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"James Milner",7,"ENG","MF",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Mohamed Salah",11,"EGY","FW,MF",90,1,1,0.4,0.4,0.2,2,1,1,1,7,0,0,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Georginio Wijnaldum",5,"NED","MF",90,0,0,0,0,0,0,0,2,2,0,0,1,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Fabinho",3,"BRA","DF",90,0,0,0,0,0,1,1,1,1,0,5,2,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Jordan Henderson",14,"ENG","MF",90,0,0,0.2,0.2,0,2,1,2,2,4,1,2,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Andrew Robertson",26,"SCO","DF",90,0,0,0,0,0,2,0,0,0,9,0,1,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Virgil van Dijk",4,"NED","DF",90,1,0,0,0,0,1,1,0,0,0,1,5,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Joe Gomez",12,"ENG","DF",90,0,0,0,0,0,0,0,2,0,0,1,0,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Trent Alexander-Arnold",66,"ENG","DF,MF",90,0,1,0.2,0.2,0.9,2,1,1,0,8,1,2,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Alisson",1,"BRA","GK",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,"Liverpool","Friday August 9, 2019"
"Adri¨¢n",13,"ESP","GK",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,66.7,"Liverpool","Friday August 9, 2019"
