"","Wk","Date","Home","Away","Result","aveHomeGoals","aveAgainstHomeGoals","aveAwayGoals","aveAgainstAwayGoals","aveHomePoints","aveAwayPoints","HomeAveMin","HomeAveGls","HomeAveAst","HomeAveSh","HomeAveSoT","HomeAveFls","HomeAveFld","HomeAveCrs","HomeAveTkl","HomeAveInt","HomeAveCrdY","HomeAveCrdR","HomeAveGA","HomeAveSaves","HomeAveSave.","AwayAveMin","AwayAveGls","AwayAveAst","AwayAveSh","AwayAveSoT","AwayAveFls","AwayAveFld","AwayAveCrs","AwayAveTkl","AwayAveInt","AwayAveCrdY","AwayAveCrdR","AwayAveGA","AwayAveSaves","AwayAveSave."
"1",1,2019-08-09,"Liverpool","Norwich City","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,2019-08-10,"West Ham United","Manchester City","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,2019-08-10,"Burnley","Southampton","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,2019-08-10,"Bournemouth","Sheffield United","D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1,2019-08-10,"Watford","Brighton and Hove Albion","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1,2019-08-10,"Crystal Palace","Everton","D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1,2019-08-10,"Tottenham Hotspur","Aston Villa","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1,2019-08-11,"Leicester City","Wolverhampton Wanderer","D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1,2019-08-11,"Newcastle United","Arsenal","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,2019-08-11,"Manchester United","Chelsea","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2,2019-08-17,"Arsenal","Burnley","H",0.2,0,0.6,0.6,0.6,0.6,70.7142857142857,0.0714285714285714,0.0714285714285714,0.571428571428571,0.142857142857143,0.5,0.785714285714286,0.714285714285714,0.428571428571429,0.428571428571429,0.214285714285714,0,0,0.142857142857143,7.14285714285714,76.1538461538462,0.230769230769231,0.153846153846154,0.769230769230769,0.307692307692308,0.461538461538462,0.846153846153846,1.07692307692308,0.769230769230769,1,0,0,0,0.230769230769231,7.69230769230769
"12",2,2019-08-17,"Norwich City","Newcastle United","H",0.2,0.8,0,0,0,0,70.7142857142857,0.0714285714285714,0.0714285714285714,0.857142857142857,0.357142857142857,0.642857142857143,0.642857142857143,0.142857142857143,0.571428571428571,0.714285714285714,0.142857142857143,0,0.285714285714286,0.285714285714286,3.57142857142857,76.1538461538462,0,0,0.692307692307692,0.153846153846154,0.923076923076923,0.538461538461538,1.15384615384615,1.38461538461538,1.30769230769231,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,3.84615384615385
"13",2,2019-08-17,"Brighton and Hove Albion","West Ham United","D",0.6,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.7142857142857,0,0,0.357142857142857,0.214285714285714,0.428571428571429,0.928571428571429,0.857142857142857,0.714285714285714,0.571428571428571,0.142857142857143,0,0.357142857142857,0.285714285714286,3.17142857142857
"14",2,2019-08-17,"Everton","Watford","H",0,0,0,0,0.2,0,69.6428571428571,0,0,0.714285714285714,0.214285714285714,1,1.14285714285714,1.21428571428571,0.5,1,0.214285714285714,0.0714285714285714,0,0.142857142857143,7.14285714285714,76.1538461538462,0,0,0.846153846153846,0.230769230769231,1.15384615384615,0.846153846153846,1.07692307692308,0.307692307692308,0.923076923076923,0,0,0.230769230769231,0.0769230769230769,1.92307692307692
"15",2,2019-08-17,"Southampton","Liverpool","A",0,0.6,0.8,0.8,0,0.6,70.7142857142857,0,0,0.785714285714286,0.214285714285714,0.857142857142857,0.428571428571429,0.714285714285714,0.428571428571429,0.571428571428571,0,0,0.214285714285714,0.0714285714285714,1.78571428571429,70.7142857142857,0.214285714285714,0.214285714285714,1.07142857142857,0.5,0.642857142857143,0.642857142857143,2.28571428571429,0.928571428571429,1,0,0,0.0714285714285714,0.285714285714286,11.9071428571429
"16",2,2019-08-17,"Aston Villa","Bournemouth","A",0.2,0.6,0.2,0.2,0,0.2,70.7142857142857,0.0714285714285714,0.0714285714285714,0.5,0.285714285714286,0.642857142857143,0.928571428571429,0.5,0.928571428571429,0.857142857142857,0,0,0.214285714285714,0.214285714285714,3.57142857142857,82.5,0.0833333333333333,0,1.08333333333333,0.25,0.833333333333333,1.41666666666667,1.16666666666667,1.08333333333333,1,0.166666666666667,0,0.0833333333333333,0.166666666666667,5.55833333333333
"17",2,2019-08-17,"Manchester City","Tottenham Hotspur","D",1,0,0.6,0.6,0.6,0.6,70.7142857142857,0.357142857142857,0.285714285714286,1,0.642857142857143,0.928571428571429,0.428571428571429,0.428571428571429,1.07142857142857,0.857142857142857,0.142857142857143,0,0,0.214285714285714,7.14285714285714,70.7142857142857,0.214285714285714,0.142857142857143,2.21428571428571,0.5,0.928571428571429,0.642857142857143,2.78571428571429,0.785714285714286,0.285714285714286,0.0714285714285714,0,0.0714285714285714,0.214285714285714,5.35714285714286
"18",2,2019-08-18,"Sheffield United","Crystal Palace","H",0.2,0.2,0,0,0.2,0.2,70.7142857142857,0.0714285714285714,0,0.571428571428571,0.214285714285714,1.35714285714286,0.642857142857143,1.28571428571429,0.785714285714286,1.07142857142857,0.0714285714285714,0,0.0714285714285714,0.142857142857143,4.76428571428571,76.1538461538462,0,0,0.461538461538462,0.153846153846154,1.23076923076923,0.923076923076923,1.07692307692308,1.07692307692308,0.923076923076923,0.153846153846154,0,0,0.153846153846154,7.69230769230769
"19",2,2019-08-18,"Chelsea","Leicester City","D",0,0.8,0,0,0,0.2,70.7142857142857,0,0,1.28571428571429,0.5,0.928571428571429,1.07142857142857,1.35714285714286,0.571428571428571,1,0.285714285714286,0,0.285714285714286,0.0714285714285714,1.42857142857143,76.1538461538462,0,0,1.15384615384615,0.0769230769230769,0.230769230769231,0.846153846153846,2.23076923076923,1.07692307692308,0.615384615384615,0,0,0,0.153846153846154,7.69230769230769
"20",2,2019-08-19,"Wolverhampton Wanderer","Manchester United","D",0,0,0.8,0.8,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.7142857142857,0.285714285714286,0.214285714285714,0.785714285714286,0.357142857142857,1.07142857142857,0.857142857142857,1,0.714285714285714,0.785714285714286,0.214285714285714,0,0,0.5,7.14285714285714
"21",3,2019-08-23,"Aston Villa","Everton","H",0.4,1,0.2,0.2,0,0.8,69.3666666666667,0.0666666666666667,0.0666666666666667,0.966666666666667,0.366666666666667,0.633333333333333,0.9,1.4,0.7,0.766666666666667,0,0,0.166666666666667,0.166666666666667,3.33333333333333,65.46875,0.03125,0.03125,0.6875,0.15625,0.9375,0.90625,0.90625,0.78125,0.8125,0.21875,0.0625,0,0.125,6.25
"22",3,2019-08-24,"Norwich City","Chelsea","A",0.8,1,0.2,0.2,0.6,0.2,61.9411764705882,0.117647058823529,0.0882352941176471,0.852941176470588,0.382352941176471,0.558823529411765,0.617647058823529,0.5,0.558823529411765,0.5,0.0882352941176471,0,0.147058823529412,0.176470588235294,3.43235294117647,68.5666666666667,0.0333333333333333,0,1.16666666666667,0.433333333333333,0.733333333333333,1,1.36666666666667,0.8,0.9,0.166666666666667,0,0.166666666666667,0.1,2.89
"23",3,2019-08-24,"Sheffield United","Leicester City","A",0.4,0.2,0.2,0.2,0.8,0.4,66.3,0.1,0,0.8,0.233333333333333,1.2,0.633333333333333,1.3,0.766666666666667,1,0.133333333333333,0,0.0333333333333333,0.2,5.55666666666667,73.5333333333333,0.0333333333333333,0.0333333333333333,1,0.166666666666667,0.633333333333333,0.666666666666667,1.63333333333333,1.2,0.766666666666667,0,0,0.0333333333333333,0.2,6
"24",3,2019-08-24,"Brighton and Hove Albion","Southampton","A",0.8,0.2,0.2,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.2647058823529,0.0294117647058824,0,0.794117647058823,0.205882352941176,0.705882352941177,0.352941176470588,0.852941176470588,0.470588235294118,0.529411764705882,0.0882352941176471,0,0.147058823529412,0.147058823529412,2.69705882352941
"25",3,2019-08-24,"Watford","West Ham United","A",0,0.8,0.2,0.2,0,0.2,67.6333333333333,0,0,0.633333333333333,0.166666666666667,0.866666666666667,0.733333333333333,1.16666666666667,0.8,0.7,0.1,0,0.133333333333333,0.0666666666666667,2.5,69.8888888888889,0.0277777777777778,0.0277777777777778,0.388888888888889,0.194444444444444,0.611111111111111,0.805555555555556,0.916666666666667,0.916666666666667,0.722222222222222,0.194444444444444,0,0.166666666666667,0.194444444444444,3.31666666666667
"26",3,2019-08-24,"Manchester United","Crystal Palace","A",1,0.2,0,0,0.8,0.2,70.7142857142857,0.178571428571429,0.142857142857143,0.714285714285714,0.25,0.821428571428571,1.03571428571429,1.10714285714286,0.928571428571429,0.642857142857143,0.178571428571429,0,0.0357142857142857,0.285714285714286,5.35714285714286,69.6666666666667,0,0,0.466666666666667,0.266666666666667,0.966666666666667,1.2,0.866666666666667,1.1,0.933333333333333,0.133333333333333,0,0.0333333333333333,0.133333333333333,5.55666666666667
"27",3,2019-08-24,"Liverpool","Arsenal","H",1.2,0.4,0.6,0.6,1.2,1.2,71.5,0.15625,0.15625,1.03125,0.40625,0.53125,0.625,1.8125,0.5625,0.84375,0.03125,0,0.0625,0.28125,10.678125,67.6944444444444,0.111111111111111,0.0833333333333333,0.861111111111111,0.388888888888889,0.694444444444444,0.75,0.861111111111111,0.416666666666667,0.5,0.222222222222222,0,0.0277777777777778,0.138888888888889,4.86111111111111
"28",3,2019-08-25,"Bournemouth","Manchester City","A",0.6,0.4,1.4,1.4,0.8,0.8,79.0333333333333,0.166666666666667,0,1.1,0.333333333333333,0.833333333333333,1.03333333333333,1.26666666666667,0.933333333333333,0.933333333333333,0.133333333333333,0,0.0666666666666667,0.266666666666667,5.08,70.3125,0.21875,0.1875,1.59375,0.65625,1.0625,0.34375,1.21875,0.78125,0.8125,0.09375,0,0.0625,0.09375,3.125
"29",3,2019-08-25,"Tottenham Hotspur","Newcastle United","A",1,0.6,0.2,0.2,0.8,0,66.2333333333333,0.166666666666667,0.133333333333333,1.16666666666667,0.3,0.566666666666667,0.766666666666667,1.46666666666667,0.7,0.366666666666667,0.0333333333333333,0,0.1,0.366666666666667,5.16666666666667,72.375,0.03125,0.03125,0.65625,0.1875,0.84375,0.59375,1.375,0.96875,0.9375,0.125,0,0.125,0.1875,3.515625
"30",3,2019-08-25,"Wolverhampton Wanderer","Burnley","D",0.2,0.2,0.8,0.8,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.1538461538462,0.153846153846154,0.0769230769230769,1.07692307692308,0.346153846153846,0.653846153846154,0.846153846153846,1.69230769230769,0.846153846153846,0.730769230769231,0.0384615384615385,0,0.0769230769230769,0.384615384615385,6.83846153846154
"31",4,2019-08-31,"Southampton","Manchester United","D",0.6,1,1.2,1.2,0.6,0.8,67.7777777777778,0.0648148148148148,0.0462962962962963,0.796296296296296,0.240740740740741,0.694444444444444,0.398148148148148,0.722222222222222,0.592592592592593,0.398148148148148,0.111111111111111,0,0.0925925925925926,0.148148148148148,3.55,69.3222222222222,0.133333333333333,0.122222222222222,1.02222222222222,0.222222222222222,0.755555555555556,1.14444444444444,1.68888888888889,0.666666666666667,0.555555555555556,0.155555555555556,0,0.0666666666666667,0.2,4.07333333333333
"32",4,2019-08-31,"Manchester City","Brighton and Hove Albion","H",2,0.6,0.8,0.8,1.4,0.8,66.3921568627451,0.205882352941176,0.176470588235294,1.42156862745098,0.509803921568627,0.901960784313726,0.362745098039216,0.970588235294118,0.794117647058823,0.617647058823529,0.127450980392157,0,0.0588235294117647,0.176470588235294,3.64117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",4,2019-08-31,"West Ham United","Norwich City","H",0.8,1.4,1.2,1.2,0.8,0.6,71.1666666666667,0.131578947368421,0.043859649122807,0.684210526315789,0.403508771929825,0.666666666666667,0.868421052631579,0.964912280701754,0.807017543859649,0.728070175438597,0.149122807017544,0,0.12280701754386,0.157894736842105,3.26491228070175,57.5,0.111111111111111,0.0925925925925926,0.657407407407407,0.333333333333333,0.509259259259259,0.518518518518518,0.444444444444444,0.527777777777778,0.537037037037037,0.0740740740740741,0,0.148148148148148,0.203703703703704,3.31851851851852
"34",4,2019-08-31,"Leicester City","Bournemouth","H",0.6,0.4,0.8,0.8,1,0.8,67.3725490196078,0.0784313725490196,0.0588235294117647,0.852941176470588,0.147058823529412,0.53921568627451,0.627450980392157,1.34313725490196,0.833333333333333,0.774509803921569,0,0,0.0392156862745098,0.156862745098039,4.83725490196078,72.9583333333333,0.114583333333333,0,0.864583333333333,0.333333333333333,0.65625,0.9375,1.19791666666667,0.822916666666667,0.927083333333333,0.104166666666667,0,0.104166666666667,0.208333333333333,4.00833333333333
"35",4,2019-08-31,"Newcastle United","Watford","D",0.4,0.8,0.2,0.2,0.6,0,69.0092592592593,0.0462962962962963,0.0740740740740741,0.546296296296296,0.166666666666667,0.648148148148148,0.574074074074074,1.05555555555556,0.842592592592593,0.787037037037037,0.111111111111111,0,0.0740740740740741,0.148148148148148,3.93518518518519,64.0294117647059,0.0196078431372549,0.0196078431372549,0.970588235294118,0.176470588235294,0.823529411764706,0.813725490196078,1.30392156862745,0.725490196078431,0.598039215686274,0.0882352941176471,0,0.137254901960784,0.176470588235294,2.84313725490196
